"model","timezero","forecast_date","target_end_date","target","location","truth_data_eval","truth_data_model","truth","shift","value.point","value.0.025","value.0.25","value.0.5","value.0.75","value.0.975","ae","wgt_iw","wgt_pen_u","wgt_pen_l","wis","pit_lower","pit_upper"
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead cum death","GM","ECDC","ECDC",39878,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead inc death","GM","ECDC","ECDC",5918,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead cum death","GM01","ECDC","ECDC",5464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead inc death","GM01","ECDC","ECDC",570,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead cum death","GM02","ECDC","ECDC",7786,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead inc death","GM02","ECDC","ECDC",975,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead cum death","GM03","ECDC","ECDC",219,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead inc death","GM03","ECDC","ECDC",18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead cum death","GM04","ECDC","ECDC",792,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead inc death","GM04","ECDC","ECDC",134,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead cum death","GM05","ECDC","ECDC",3461,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead inc death","GM05","ECDC","ECDC",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead cum death","GM06","ECDC","ECDC",2313,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead inc death","GM06","ECDC","ECDC",297,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead cum death","GM07","ECDC","ECDC",7866,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead inc death","GM07","ECDC","ECDC",1165,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead cum death","GM08","ECDC","ECDC",1740,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead inc death","GM08","ECDC","ECDC",281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead cum death","GM09","ECDC","ECDC",529,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead inc death","GM09","ECDC","ECDC",89,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead cum death","GM10","ECDC","ECDC",534,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead inc death","GM10","ECDC","ECDC",98,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead cum death","GM11","ECDC","ECDC",1281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead inc death","GM11","ECDC","ECDC",299,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead cum death","GM12","ECDC","ECDC",235,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead inc death","GM12","ECDC","ECDC",62,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead cum death","GM13","ECDC","ECDC",3981,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead inc death","GM13","ECDC","ECDC",679,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead cum death","GM14","ECDC","ECDC",832,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead inc death","GM14","ECDC","ECDC",166,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead cum death","GM15","ECDC","ECDC",1298,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead inc death","GM15","ECDC","ECDC",271,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead cum death","GM16","ECDC","ECDC",1547,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-09,"0 wk ahead inc death","GM16","ECDC","ECDC",270,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-16,"1 wk ahead cum death","GM","ECDC","ECDC",45974,0,45157,44280,44877,45157,45427,46073,817,88.9482608695652,435.173913043478,0,524.122173913044,0.95,0.975
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-16,"1 wk ahead cum death","GM01","ECDC","ECDC",6050,0,5928,5863,5905,5928,5950,5998,122,7.60130434782609,86.1739130434783,0,93.7752173913044,0.99,1
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-16,"1 wk ahead cum death","GM02","ECDC","ECDC",8639,0,8472,8363,8428,8472,8512,8600,167,12.93,108.391304347826,0,121.321304347826,0.99,1
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-16,"1 wk ahead cum death","GM03","ECDC","ECDC",230,0,242,237,240,242,244,247,12,0.523478260869565,0,9.65217391304348,10.175652173913,0,0.01
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-16,"1 wk ahead cum death","GM04","ECDC","ECDC",895,0,903,887,898,903,909,922,8,1.82130434782609,0,2.60869565217391,4.43,0.1,0.2
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-16,"1 wk ahead cum death","GM05","ECDC","ECDC",3907,0,4032,3929,3999,4032,4071,4143,125,11.4069565217391,0,75.4347826086957,86.8417391304348,0,0.01
