"model","timezero","forecast_date","target_end_date","target","location","truth_data_eval","truth_data_model","truth","shift","value.point","value.0.025","value.0.25","value.0.5","value.0.75","value.0.975","ae","wgt_iw","wgt_pen_u","wgt_pen_l","wis","pit_lower","pit_upper"
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-16,"1 wk ahead cum death","GM13","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-16,"1 wk ahead cum death","GM14","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-16,"1 wk ahead cum death","GM15","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-16,"1 wk ahead cum death","GM16","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-16,"1 wk ahead inc death","GM","JHU","ECDC",5867,0,5239,4399,4946,5239,5521,6195,628,92.415652173913,266.695652173913,0,359.111304347826,0.9,0.95
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-16,"1 wk ahead inc death","GM01","JHU","ECDC",NA,0,470,399,443,470,489,540,NA,8.05434782608696,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-16,"1 wk ahead inc death","GM02","JHU","ECDC",NA,0,691,597,656,691,731,815,NA,13.3313043478261,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-16,"1 wk ahead inc death","GM03","JHU","ECDC",NA,0,21,16,20,21,23,26,NA,0.532173913043478,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-16,"1 wk ahead inc death","GM04","JHU","ECDC",NA,0,118,103,113,118,124,137,NA,1.78869565217391,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-16,"1 wk ahead inc death","GM05","JHU","ECDC",NA,0,539,434,504,539,578,651,NA,11.8091304347826,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-16,"1 wk ahead inc death","GM06","JHU","ECDC",NA,0,314,256,306,314,318,360,NA,2.64521739130435,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-16,"1 wk ahead inc death","GM07","JHU","ECDC",NA,0,1030,839,972,1030,1066,1210,NA,16.6230434782609,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-16,"1 wk ahead inc death","GM08","JHU","ECDC",NA,0,267,234,257,267,282,307,NA,3.84913043478261,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-16,"1 wk ahead inc death","GM09","JHU","ECDC",NA,0,83,59,71,83,88,107,NA,2.68608695652174,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-16,"1 wk ahead inc death","GM10","JHU","ECDC",NA,0,114,98,107,114,119,133,NA,1.75782608695652,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-16,"1 wk ahead inc death","GM11","JHU","ECDC",NA,0,267,191,242,267,297,352,NA,8.85782608695652,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-16,"1 wk ahead inc death","GM12","JHU","ECDC",NA,0,70,55,65,70,71,84,NA,1.32130434782609,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-16,"1 wk ahead inc death","GM13","JHU","ECDC",NA,0,608,529,582,608,637,696,NA,8.66478260869565,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-16,"1 wk ahead inc death","GM14","JHU","ECDC",NA,0,189,167,182,189,196,213,NA,2.28782608695652,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-16,"1 wk ahead inc death","GM15","JHU","ECDC",NA,0,275,224,258,275,291,328,NA,5.23304347826087,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-16,"1 wk ahead inc death","GM16","JHU","ECDC",NA,0,244,198,229,244,259,288,NA,4.69913043478261,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead cum death","GM","JHU","ECDC",51873,719,51483,48671,50421,51483,52606,54965,390,323.094782608696,34.0869565217391,0,357.181739130435,0.55,0.6
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead cum death","GM01","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead cum death","GM02","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead cum death","GM03","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead cum death","GM04","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead cum death","GM05","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead cum death","GM06","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead cum death","GM07","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead cum death","GM08","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead cum death","GM09","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead cum death","GM10","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead cum death","GM11","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead cum death","GM12","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
